VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	Sample
189	turquoise	SET	3333	0.019574	0.0074834	0.016618	0.11942	MDD_2018
190	violet	SET	47	-0.090448	-0.0045226	0.11851	0.77733	MDD_2018
191	white	SET	68	0.14469	0.0086973	0.10027	0.074522	MDD_2018
192	yellow	SET	497	-0.041838	-0.0067205	0.037727	0.86627	MDD_2018
193	black	SET	271	-0.10355	-0.012531	0.065818	0.94217	SZ_2018
194	blue	SET	1917	0.065559	0.020111	0.027425	0.0084189	SZ_2018
195	brown	SET	681	-0.017187	-0.0032593	0.04213	0.65835	SZ_2018
196	cyan	SET	183	0.062411	0.0062216	0.085712	0.23327	SZ_2018
197	darkgreen	SET	80	0.023414	0.0015477	0.12516	0.4258	SZ_2018
198	darkgrey	SET	83	0.084912	0.0057164	0.12293	0.24487	SZ_2018
199	darkorange	SET	66	-0.19566	-0.011751	0.13804	0.9218	SZ_2018
200	darkred	SET	95	-0.034712	-0.0024992	0.10847	0.62552	SZ_2018
201	darkturquoise	SET	85	0.053156	0.0036212	0.13074	0.34216	SZ_2018
202	green	SET	448	0.05466	0.0084628	0.052509	0.14895	SZ_2018
203	greenyellow	SET	188	-0.10639	-0.010748	0.081738	0.90347	SZ_2018
204	grey60	SET	111	-0.087692	-0.0068219	0.10265	0.80353	SZ_2018
205	lightcyan	SET	156	0.098165	0.0090419	0.086206	0.12742	SZ_2018
206	lightgreen	SET	107	0.074442	0.0056864	0.106	0.24125	SZ_2018
207	lightyellow	SET	101	0.027897	0.0020707	0.1092	0.39918	SZ_2018
208	magenta	SET	209	0.22338	0.02378	0.077846	0.0020584	SZ_2018
209	midnightblue	SET	166	0.11876	0.011281	0.087183	0.086578	SZ_2018
210	orange	SET	79	-0.019357	-0.0012715	0.13118	0.55866	SZ_2018
211	paleturquoise	SET	43	-0.079165	-0.0038403	0.1689	0.68036	SZ_2018
212	pink	SET	207	-0.08837	-0.0093631	0.078396	0.87017	SZ_2018
213	purple	SET	205	-0.0041183	-0.00043426	0.079043	0.52078	SZ_2018
214	red	SET	320	0.03492	0.0045858	0.061539	0.28521	SZ_2018
215	royalblue	SET	103	-0.092367	-0.0069233	0.11526	0.78855	SZ_2018
216	saddlebrown	SET	48	0.12491	0.0064011	0.15815	0.21482	SZ_2018
217	salmon	SET	178	0.029921	0.0029421	0.082516	0.35845	SZ_2018
218	skyblue	SET	55	0.015721	0.0008622	0.14251	0.45608	SZ_2018
219	steelblue	SET	49	-0.10021	-0.0051885	0.15078	0.74685	SZ_2018
220	tan	SET	189	-0.077748	-0.0078752	0.082642	0.82658	SZ_2018
221	turquoise	SET	3247	0.052813	0.020207	0.022015	0.0082275	SZ_2018
222	violet	SET	46	-0.03381	-0.0016962	0.16023	0.58356	SZ_2018
223	white	SET	68	-0.11078	-0.0067531	0.131	0.80111	SZ_2018
224	yellow	SET	480	-0.0010708	-0.00017145	0.050556	0.50845	SZ_2018
225	black	SET	276	-0.066772	-0.0080617	0.061522	0.8611	tCognFun
226	blue	SET	1942	0.087228	0.026639	0.025018	0.0002453	tCognFun
227	brown	SET	696	-0.0057034	-0.0010809	0.037861	0.55987	tCognFun
228	cyan	SET	183	-0.031621	-0.0031166	0.076109	0.6611	tCognFun
229	darkgreen	SET	85	-0.071395	-0.0048084	0.10621	0.74927	tCognFun
230	darkgrey	SET	85	-0.11146	-0.0075066	0.11363	0.83668	tCognFun
231	darkorange	SET	67	-0.070625	-0.004225	0.12662	0.7115	tCognFun
232	darkred	SET	97	-0.11006	-0.007916	0.10708	0.84799	tCognFun
233	darkturquoise	SET	86	-0.0015655	-0.00010605	0.11748	0.50532	tCognFun
234	green	SET	458	0.032028	0.0049566	0.047095	0.24823	tCognFun
235	greenyellow	SET	196	-0.0079516	-0.00081078	0.070389	0.54497	tCognFun
236	grey60	SET	112	-0.086128	-0.0066537	0.094962	0.81778	tCognFun
237	lightcyan	SET	162	-0.083247	-0.0077241	0.080796	0.84857	tCognFun
238	lightgreen	SET	108	0.074882	0.0056813	0.094901	0.21505	tCognFun
239	lightyellow	SET	102	-0.087878	-0.0064805	0.10231	0.8048	tCognFun
240	magenta	SET	214	0.14845	0.015809	0.070895	0.018141	tCognFun
241	midnightblue	SET	166	-0.03507	-0.0032936	0.079944	0.66955	tCognFun
242	orange	SET	79	0.14909	0.009682	0.11428	0.09601	tCognFun
243	paleturquoise	SET	44	0.30397	0.014745	0.15185	0.02266	tCognFun
244	pink	SET	212	0.039972	0.004237	0.068386	0.27944	tCognFun
245	purple	SET	205	-0.021396	-0.0022306	0.07029	0.61959	tCognFun
246	red	SET	331	0.02999	0.0039593	0.057236	0.30015	tCognFun
247	royalblue	SET	104	-0.11826	-0.0088053	0.096591	0.88957	tCognFun
248	saddlebrown	SET	48	0.05329	0.0026997	0.15477	0.3653	tCognFun
249	salmon	SET	182	-0.062848	-0.0061775	0.077952	0.78994	tCognFun
250	skyblue	SET	55	-0.10348	-0.0056108	0.13458	0.77903	tCognFun
251	steelblue	SET	51	0.012962	0.00067682	0.15325	0.4663	tCognFun
252	tan	SET	192	-0.037945	-0.0038298	0.075756	0.69177	tCognFun
253	turquoise	SET	3324	0.04681	0.017913	0.020093	0.0099172	tCognFun
254	violet	SET	47	-0.22494	-0.011277	0.15522	0.92634	tCognFun
255	white	SET	68	-0.10309	-0.0062129	0.12518	0.79489	tCognFun
256	yellow	SET	495	0.0046733	0.0007511	0.045514	0.45911	tCognFun
257	black	SET	276	0.019763	0.0023916	0.073095	0.39344	tEduATT
258	blue	SET	1936	0.12445	0.038032	0.029753	1.4485e-05	tEduATT
259	brown	SET	694	-0.025294	-0.0047979	0.045985	0.70886	tEduATT
260	cyan	SET	183	-0.00036284	-3.5843e-05	0.092221	0.50157	tEduATT
261	darkgreen	SET	85	-0.010261	-0.00069269	0.12909	0.53168	tEduATT
262	darkgrey	SET	85	-0.021557	-0.0014552	0.13379	0.564	tEduATT
263	darkorange	SET	67	0.025962	0.0015567	0.13734	0.42503	tEduATT
264	darkred	SET	97	-0.078747	-0.0056768	0.12564	0.7346	tEduATT
265	darkturquoise	SET	86	0.030313	0.0020582	0.13281	0.40973	tEduATT
266	green	SET	456	0.045717	0.0070758	0.056464	0.20907	tEduATT
267	greenyellow	SET	196	0.013102	0.001339	0.085146	0.43886	tEduATT
268	grey60	SET	112	-0.079824	-0.0061808	0.11162	0.76273	tEduATT
269	lightcyan	SET	162	-0.045476	-0.0042292	0.09188	0.68968	tEduATT
270	lightgreen	SET	108	0.12865	0.0097828	0.1228	0.14742	tEduATT
271	lightyellow	SET	102	0.054113	0.0039996	0.11707	0.32196	tEduATT
272	magenta	SET	214	0.1484	0.015839	0.08773	0.045377	tEduATT
273	midnightblue	SET	166	0.03586	0.0033754	0.090742	0.34636	tEduATT
274	orange	SET	79	-0.060404	-0.0039316	0.13828	0.66888	tEduATT
275	paleturquoise	SET	44	0.33102	0.016094	0.18407	0.036076	tEduATT
276	pink	SET	211	-0.024193	-0.0025643	0.084263	0.61299	tEduATT
277	purple	SET	205	-0.037819	-0.0039518	0.083495	0.6747	tEduATT
278	red	SET	328	-0.026728	-0.0035209	0.066996	0.65503	tEduATT
279	royalblue	SET	104	-0.001073	-8.0077e-05	0.1214	0.50353	tEduATT
280	saddlebrown	SET	48	0.00045427	2.3067e-05	0.18093	0.499	tEduATT
281	salmon	SET	181	0.010418	0.0010236	0.08832	0.45305	tEduATT
282	skyblue	SET	55	-0.11954	-0.0064964	0.16181	0.76997	tEduATT
283	steelblue	SET	51	-0.071559	-0.0037451	0.17275	0.66064	tEduATT
284	tan	SET	192	-0.014589	-0.0014758	0.083114	0.56967	tEduATT
285	turquoise	SET	3311	0.036997	0.014162	0.023787	0.059944	tEduATT
286	violet	SET	47	0.3433	0.01725	0.18149	0.029282	tEduATT
287	white	SET	68	0.053426	0.0032272	0.15528	0.3654	tEduATT
288	yellow	SET	489	-0.058023	-0.0092914	0.053819	0.8595	tEduATT
289	black	SET	276	-0.050487	-0.0061154	0.063203	0.78779	tIntelligence
290	blue	SET	1934	0.081391	0.024884	0.026216	0.00095448	tIntelligence
291	brown	SET	693	-0.031011	-0.0058838	0.040591	0.77756	tIntelligence
292	cyan	SET	183	-0.00028348	-2.8031e-05	0.081861	0.50138	tIntelligence
293	darkgreen	SET	85	-0.09651	-0.0065213	0.1192	0.79093	tIntelligence
294	darkgrey	SET	85	0.02622	0.0017717	0.11075	0.40643	tIntelligence
295	darkorange	SET	67	-0.076355	-0.0045829	0.12605	0.72766	tIntelligence
296	darkred	SET	97	-0.15207	-0.010973	0.11025	0.91609	tIntelligence
297	darkturquoise	SET	86	0.070945	0.0048218	0.11413	0.26711	tIntelligence
298	green	SET	456	0.011197	0.0017347	0.050227	0.4118	tIntelligence
299	greenyellow	SET	196	-0.013581	-0.0013893	0.075545	0.57133	tIntelligence
300	grey60	SET	112	0.0043308	0.00033567	0.1017	0.48302	tIntelligence
301	lightcyan	SET	162	0.017495	0.0016286	0.083619	0.41714	tIntelligence
302	lightgreen	SET	108	0.11751	0.0089447	0.10193	0.1245	tIntelligence
303	lightyellow	SET	102	-0.14021	-0.010374	0.10896	0.90091	tIntelligence
304	magenta	SET	214	0.072118	0.0077051	0.073156	0.16212	tIntelligence
305	midnightblue	SET	166	-0.018385	-0.0017323	0.07944	0.59151	tIntelligence
306	orange	SET	79	-0.026892	-0.0017521	0.11715	0.59078	tIntelligence
307	paleturquoise	SET	44	0.27881	0.01357	0.16149	0.042138	tIntelligence
308	pink	SET	211	0.055428	0.0058807	0.076439	0.23419	tIntelligence
309	purple	SET	205	-0.063998	-0.0066939	0.075517	0.80163	tIntelligence
310	red	SET	328	-0.061674	-0.0081323	0.060392	0.84642	tIntelligence
311	royalblue	SET	104	0.082991	0.0061998	0.10628	0.21744	tIntelligence
312	saddlebrown	SET	48	0.1584	0.0080512	0.14496	0.13727	tIntelligence
313	salmon	SET	180	0.036701	0.0035995	0.077281	0.31743	tIntelligence
314	skyblue	SET	55	-0.0025735	-0.00013999	0.14471	0.50709	tIntelligence
315	steelblue	SET	51	0.035612	0.0018657	0.15408	0.40861	tIntelligence
316	tan	SET	192	-0.047968	-0.0048572	0.076835	0.73378	tIntelligence
317	turquoise	SET	3305	0.015491	0.0059302	0.020701	0.22714	tIntelligence
318	violet	SET	47	-0.23259	-0.011699	0.16692	0.91825	tIntelligence
319	white	SET	68	0.1162	0.0070259	0.12635	0.1789	tIntelligence
320	yellow	SET	486	0.035193	0.0056241	0.047193	0.22793	tIntelligence
321	black	SET	276	0.018793	0.0022635	0.062421	0.38168	zBMI
322	blue	SET	1947	0.016105	0.0049132	0.026156	0.26905	zBMI
323	brown	SET	698	-0.00072918	-0.00013806	0.039356	0.50739	zBMI
324	cyan	SET	183	0.071392	0.0070192	0.080019	0.18615	zBMI
325	darkgreen	SET	85	0.034283	0.0023033	0.1185	0.38618	zBMI
326	darkgrey	SET	85	0.11866	0.007972	0.11458	0.1502	zBMI
327	darkorange	SET	67	-0.13327	-0.0079532	0.12767	0.85173	zBMI
328	darkred	SET	97	0.11602	0.0083244	0.10334	0.13078	zBMI
329	darkturquoise	SET	86	-0.057989	-0.0039187	0.10754	0.70514	zBMI
330	green	SET	460	-0.027513	-0.0042567	0.048579	0.71442	zBMI
331	greenyellow	SET	197	0.042404	0.0043241	0.07357	0.28218	zBMI
332	grey60	SET	112	0.045535	0.0035091	0.10117	0.32633	zBMI
333	lightcyan	SET	162	-0.10562	-0.0097757	0.082411	0.9	zBMI
334	lightgreen	SET	108	0.0041651	0.00031523	0.10422	0.48406	zBMI
335	lightyellow	SET	102	0.017629	0.0012968	0.10319	0.43217	zBMI
336	magenta	SET	214	0.08225	0.0087376	0.073803	0.13255	zBMI
337	midnightblue	SET	166	0.022775	0.0021336	0.083306	0.39228	zBMI
338	orange	SET	79	0.080764	0.0052319	0.11489	0.24105	zBMI
339	paleturquoise	SET	44	0.20602	0.0099696	0.17141	0.11471	zBMI
340	pink	SET	213	0.021537	0.0022827	0.071135	0.38104	zBMI
341	purple	SET	206	-0.065291	-0.0068067	0.077249	0.80099	zBMI
