GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
112	GO:0050896	0.00476288069884519	3.6135556621881	12.3116596058206	19	8355	response to stimulus	ALDH1A2;APCDD1;COL1A1;COL3A1;FMOD;FN1;FYN;FZD7;IGFBP2;MTSS2;NID1;OGN;SERPINH1;SLC22A6;SLC22A8;SMOX;THBD;TRAF3;VCAM1	0.049542464412095
113	GO:0006814	0.0053881711890084	9.45749704840614	0.361024129673973	3	245	sodium ion transport	SLC13A4;SLC6A13;SLC6A20	0.0515209986899173
114	GO:0048762	0.00557324129557966	9.3399416909621	0.365444833302634	3	248	mesenchymal cell differentiation	ALDH1A2;COL1A1;FN1	0.0515209986899173
115	GO:0031667	0.0056831114719395	6.37090909090909	0.735310370233929	4	499	response to nutrient levels	ALDH1A2;COL1A1;IGFBP2;VCAM1	0.0515209986899173
116	GO:0060828	0.00576211827938994	9.22523041474654	0.369865536931295	3	251	regulation of canonical Wnt signaling pathway	COL1A1;FZD7;IGFBP2	0.0515209986899173
117	GO:0050870	0.00582592705932209	9.18760757314974	0.371339104807515	3	252	positive regulation of T cell activation	FYN;IGFBP2;VCAM1	0.0515209986899173
118	GO:0006598	0.00588179641696052	235.652173913043	0.00589427150488119	1	4	polyamine catabolic process	SMOX	0.0515209986899173
119	GO:0006931	0.00588179641696052	235.652173913043	0.00589427150488119	1	4	substrate-dependent cell migration, cell attachment to substrate	FN1	0.0515209986899173
120	GO:0007161	0.00588179641696052	235.652173913043	0.00589427150488119	1	4	calcium-independent cell-matrix adhesion	FN1	0.0515209986899173
121	GO:0009996	0.00588179641696052	235.652173913043	0.00589427150488119	1	4	negative regulation of cell fate specification	FZD7	0.0515209986899173
122	GO:0014834	0.00588179641696052	235.652173913043	0.00589427150488119	1	4	skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration	FZD7	0.0515209986899173
123	GO:0015881	0.00588179641696052	235.652173913043	0.00589427150488119	1	4	creatine transmembrane transport	SLC6A13	0.0515209986899173
124	GO:0035799	0.00588179641696052	235.652173913043	0.00589427150488119	1	4	ureter maturation	ALDH1A2	0.0515209986899173
125	GO:0042904	0.00588179641696052	235.652173913043	0.00589427150488119	1	4	9-cis-retinoic acid biosynthetic process	ALDH1A2	0.0515209986899173
126	GO:0042905	0.00588179641696052	235.652173913043	0.00589427150488119	1	4	9-cis-retinoic acid metabolic process	ALDH1A2	0.0515209986899173
127	GO:0051936	0.00588179641696052	235.652173913043	0.00589427150488119	1	4	gamma-aminobutyric acid reuptake	SLC6A13	0.0515209986899173
128	GO:0060414	0.00588179641696052	235.652173913043	0.00589427150488119	1	4	aorta smooth muscle tissue morphogenesis	COL3A1	0.0515209986899173
129	GO:1902617	0.00588179641696052	235.652173913043	0.00589427150488119	1	4	response to fluoride	COL1A1	0.0515209986899173
130	GO:1902951	0.00588179641696052	235.652173913043	0.00589427150488119	1	4	negative regulation of dendritic spine maintenance	FYN	0.0515209986899173
131	GO:1904271	0.00588179641696052	235.652173913043	0.00589427150488119	1	4	L-proline import across plasma membrane	SLC6A20	0.0515209986899173
132	GO:1904555	0.00588179641696052	235.652173913043	0.00589427150488119	1	4	L-proline transmembrane transport	SLC6A20	0.0515209986899173
133	GO:1905647	0.00588179641696052	235.652173913043	0.00589427150488119	1	4	proline import across plasma membrane	SLC6A20	0.0515209986899173
134	GO:0014032	0.00598303716467217	19.1097992916175	0.116411862221404	2	79	neural crest cell development	ALDH1A2;FN1	0.0520167037077842
135	GO:0001501	0.00634925464791027	6.16516634050881	0.758887456253454	4	515	skeletal system development	COL1A1;COL3A1;OGN;SERPINH1	0.0547917160356701
136	GO:0097435	0.00645667126044937	4.91812157512425	1.22453490513907	5	831	supramolecular fiber organization	COL1A1;COL3A1;ELN;FMOD;SERPINH1	0.0553089854295847
137	GO:0048864	0.00689545752908434	17.7217962760131	0.125253269478725	2	85	stem cell development	ALDH1A2;FN1	0.0583798068819147
138	GO:0003018	0.00697652393297731	8.59129967776584	0.39638975870326	3	269	vascular process in circulatory system	SLC22A8;SLC6A13;SLC6A20	0.0583798068819147
139	GO:0051240	0.00700629162857335	3.76052776250687	2.37539141646712	7	1612	positive regulation of multicellular organismal process	COL1A1;FN1;FYN;IGFBP2;THBD;TRAF3;VCAM1	0.0583798068819147
140	GO:0006811	0.00701559911027301	4.16542185338866	1.78449069810278	6	1211	monoatomic ion transport	FYN;SLC13A4;SLC22A6;SLC22A8;SLC6A13;SLC6A20	0.0583798068819147
141	GO:0008215	0.00734705692706183	176.728260869565	0.00736783938110149	1	5	spermine metabolic process	SMOX	0.059029802207083
142	GO:0015818	0.00734705692706183	176.728260869565	0.00736783938110149	1	5	isoleucine transport	SLC6A20	0.059029802207083
143	GO:0022614	0.00734705692706183	176.728260869565	0.00736783938110149	1	5	membrane to membrane docking	VCAM1	0.059029802207083
144	GO:0051939	0.00734705692706183	176.728260869565	0.00736783938110149	1	5	gamma-aminobutyric acid import	SLC6A13	0.059029802207083
145	GO:0072237	0.00734705692706183	176.728260869565	0.00736783938110149	1	5	metanephric proximal tubule development	SLC22A6	0.059029802207083
146	GO:1903039	0.00741272488352878	8.39863445378151	0.405231165960582	3	275	positive regulation of leukocyte cell-cell adhesion	FYN;IGFBP2;VCAM1	0.0591494828035002
147	GO:0033273	0.00770109008232418	16.7097107438017	0.132621108859827	2	90	response to vitamin	ALDH1A2;COL1A1	0.0606200672020788
148	GO:0051591	0.00770109008232418	16.7097107438017	0.132621108859827	2	90	response to cAMP	COL1A1;THBD	0.0606200672020788
149	GO:0002220	0.00786709933412774	16.5209397344229	0.134094676736047	2	91	innate immune response activating cell surface receptor signaling pathway	FYN;TRAF3	0.0615112129144887
150	GO:0014033	0.00803472512727217	16.3363636363636	0.135568244612267	2	92	neural crest cell differentiation	ALDH1A2;FN1	0.0624030318218138
151	GO:0046651	0.00825396599828964	8.06663301362948	0.421440412599005	3	286	lymphocyte proliferation	FYN;IGFBP2;VCAM1	0.0635245772162686
152	GO:0002694	0.0083427127159563	5.68173598553345	0.820777307054706	4	557	regulation of leukocyte activation	FN1;FYN;IGFBP2;VCAM1	0.0635245772162686
153	GO:0009611	0.0083427127159563	5.68173598553345	0.820777307054706	4	557	response to wounding	COL3A1;FN1;FZD7;THBD	0.0635245772162686
154	GO:0042542	0.00854725467945042	15.8064516129032	0.139988948240928	2	95	response to hydrogen peroxide	COL1A1;FYN	0.0636100741385476
155	GO:0014070	0.00854884129354371	4.578173374613	1.31000184195985	5	889	response to organic cyclic compound	ALDH1A2;COL1A1;IGFBP2;SLC22A6;THBD	0.0636100741385476
156	GO:0070887	0.00861916279882088	3.35379146919431	3.12101676183459	8	2118	cellular response to chemical stimulus	ALDH1A2;COL1A1;COL3A1;FYN;FZD7;IGFBP2;SMOX;VCAM1	0.0636100741385476
157	GO:0010668	0.00881024760595639	141.373913043478	0.00884140725732179	1	6	ectodermal cell differentiation	FZD7	0.0636100741385476
158	GO:0010727	0.00881024760595639	141.373913043478	0.00884140725732179	1	6	negative regulation of hydrogen peroxide metabolic process	FYN	0.0636100741385476
159	GO:0061975	0.00881024760595639	141.373913043478	0.00884140725732179	1	6	articular cartilage development	OGN	0.0636100741385476
160	GO:1901166	0.00881024760595639	141.373913043478	0.00884140725732179	1	6	neural crest cell migration involved in autonomic nervous system development	FN1	0.0636100741385476
161	GO:0009653	0.00885876523485597	3.16458333333333	3.832750046049	9	2601	anatomical structure morphogenesis	ALDH1A2;APCDD1;COL1A1;COL3A1;ELN;FN1;FYN;FZD7;SERPINH1	0.0636100741385476
162	GO:0034446	0.00889693761332298	15.4717703349282	0.142936083993369	2	97	substrate adhesion-dependent cell spreading	FN1;FZD7	0.0636100741385476
163	GO:0032943	0.00889995028719594	7.84094256259205	0.433228955608768	3	294	mononuclear cell proliferation	FYN;IGFBP2;VCAM1	0.0636100741385476
164	GO:0042110	0.00914467673318732	5.52640845070423	0.842880825198011	4	572	T cell activation	FYN;FZD7;IGFBP2;VCAM1	0.0649606609400197
165	GO:0034097	0.0093695303158124	4.47106427573358	1.33947319948425	5	909	response to cytokine	ALDH1A2;COL1A1;COL3A1;TRAF3;VCAM1	0.0658075953904783
166	GO:0032963	0.00943336345940762	14.9953617810761	0.14735678762203	2	100	collagen metabolic process	COL1A1;SERPINH1	0.0658075953904783
167	GO:0042102	0.00943336345940762	14.9953617810761	0.14735678762203	2	100	positive regulation of T cell proliferation	IGFBP2;VCAM1	0.0658075953904783
168	GO:0008284	0.00979993428289929	4.41926753426235	1.35420887824645	5	919	positive regulation of cell population proliferation	ALDH1A2;FN1;FZD7;IGFBP2;VCAM1	0.0668499860719453
169	GO:0003333	0.00998395956891769	14.5472547254725	0.151777491250691	2	103	amino acid transmembrane transport	SLC6A13;SLC6A20	0.0668499860719453
170	GO:1901652	0.0100202461127896	4.39379187904473	1.36157671762756	5	924	response to peptide	ALDH1A2;COL1A1;COL3A1;TRAF3;VCAM1	0.0668499860719453
171	GO:0022008	0.0101886186228113	3.47930409816454	2.54632529010868	7	1728	neurogenesis	ALDH1A2;APCDD1;COL3A1;FN1;FYN;FZD7;VCAM1	0.0668499860719453
172	GO:0001957	0.0102713712505392	117.804347826087	0.0103149751335421	1	7	intramembranous ossification	COL1A1	0.0668499860719453
173	GO:0010728	0.0102713712505392	117.804347826087	0.0103149751335421	1	7	regulation of hydrogen peroxide biosynthetic process	FYN	0.0668499860719453
174	GO:0015742	0.0102713712505392	117.804347826087	0.0103149751335421	1	7	alpha-ketoglutarate transport	SLC22A6	0.0668499860719453
175	GO:0036022	0.0102713712505392	117.804347826087	0.0103149751335421	1	7	limb joint morphogenesis	COL3A1	0.0668499860719453
176	GO:0036072	0.0102713712505392	117.804347826087	0.0103149751335421	1	7	direct ossification	COL1A1	0.0668499860719453
