Gene	ModuleColor	kWithin	ModuleName
BASP1	blue	666.328532601904	AdhdM2
C16orf91	blue	149.577786221783	AdhdM2
BCL11A	blue	291.927970960054	AdhdM2
BCL2L11	blue	266.557577272513	AdhdM2
BCL2L13	blue	333.481383597894	AdhdM2
BCL2L2	blue	385.949788054639	AdhdM2
BCL6B	blue	135.389095016222	AdhdM2
BCL7A	blue	654.751643037937	AdhdM2
BEAN1	blue	142.082438869701	AdhdM2
BECN1	blue	85.7677164819091	AdhdM2
BEND5	blue	287.517156872803	AdhdM2
BICDL1	blue	177.264486021627	AdhdM2
BLNK	blue	521.242273099397	AdhdM2
BLOC1S6	blue	196.581955727873	AdhdM2
BMERB1	blue	444.811631249204	AdhdM2
BMP3	blue	641.082461096368	AdhdM2
BMT2	blue	12.0444646916479	AdhdM2
BNIP3	blue	288.483381431912	AdhdM2
BNIP3L	blue	24.9937637997705	AdhdM2
BNIP5	blue	127.678460430457	AdhdM2
BOC	blue	694.87165385257	AdhdM2
BOP1	blue	163.936865966517	AdhdM2
BORCS5	blue	338.741986688815	AdhdM2
BRAP	blue	317.67258605167	AdhdM2
BRD9	blue	45.24105515718	AdhdM2
BRDT	blue	114.50156755164	AdhdM2
BRINP1	blue	555.94450927039	AdhdM2
BRINP2	blue	662.225208603815	AdhdM2
BRK1	blue	519.710989998203	AdhdM2
BRPF1	blue	17.4339822068547	AdhdM2
BRSK1	blue	604.894280579098	AdhdM2
BRSK2	blue	636.905222644018	AdhdM2
BSN	blue	503.515496029737	AdhdM2
BTBD10	blue	627.503544671697	AdhdM2
BTBD6	blue	167.119282928395	AdhdM2
BTBD8	blue	413.502278703403	AdhdM2
BTF3L4	blue	96.2790550626183	AdhdM2
BUD31	blue	23.1751037238642	AdhdM2
BYSL	blue	209.508558978675	AdhdM2
BZW1	blue	343.508883571395	AdhdM2
C1orf115	blue	200.908116229918	AdhdM2
C1QL3	blue	501.540596206309	AdhdM2
C1QTNF1	blue	276.289192053885	AdhdM2
C2CD4C	blue	508.695906122629	AdhdM2
KIAA1522	blue	627.216877850618	AdhdM2
CAB39	blue	39.417631499565	AdhdM2
CABP1	blue	635.252959414875	AdhdM2
CACNA1A	blue	498.945814707783	AdhdM2
CACNA1G	blue	52.3139335309146	AdhdM2
CACNA2D1	blue	593.966227460783	AdhdM2
CACNB3	blue	612.53403473015	AdhdM2
CACNB4	blue	233.22419857247	AdhdM2
CACNG2	blue	570.246830484021	AdhdM2
CACNG3	blue	362.908443895433	AdhdM2
CACNG6	blue	410.797741802776	AdhdM2
CACNG7	blue	533.218019134132	AdhdM2
CADM2	blue	140.652946844673	AdhdM2
CADM3	blue	414.082653638102	AdhdM2
CADM4	blue	159.236899394045	AdhdM2
CADPS2	blue	536.899481619344	AdhdM2
CALHM2	blue	467.419937396792	AdhdM2
CALHM5	blue	307.292092750461	AdhdM2
CALM1	blue	547.369919719465	AdhdM2
CALM2	blue	302.788923164485	AdhdM2
CALM3	blue	460.91204461781	AdhdM2
CAMK1	blue	299.174178846596	AdhdM2
CAMK1D	blue	15.6014698519191	AdhdM2
CAMK1G	blue	38.1451806165461	AdhdM2
CAMK2A	blue	514.925917819337	AdhdM2
CAMK2G	blue	548.252321595636	AdhdM2
CAMK2N1	blue	367.008840620475	AdhdM2
CAMKK1	blue	13.8933378866605	AdhdM2
CAMKK2	blue	167.862743656559	AdhdM2
CAMTA2	blue	436.784162270635	AdhdM2
CAP2	blue	496.758102061668	AdhdM2
CAPN1	blue	186.946039606257	AdhdM2
CAPZA2	blue	27.6108727550079	AdhdM2
CA10	blue	580.953929209474	AdhdM2
CA4	blue	282.658696188397	AdhdM2
CA7	blue	556.734714041364	AdhdM2
CA8	blue	326.444176340327	AdhdM2
CARMIL2	blue	227.66499581203	AdhdM2
CASK	blue	195.833125474901	AdhdM2
CASP3	blue	139.157281558951	AdhdM2
CATSPERZ	blue	626.866785051273	AdhdM2
CAV2	blue	560.499406865464	AdhdM2
CBFA2T2	blue	30.2985180496142	AdhdM2
CBFA2T3	blue	553.664932877795	AdhdM2
CBLN2	blue	483.503272426752	AdhdM2
CBX6	blue	149.242948208549	AdhdM2
CBY1	blue	102.228636430562	AdhdM2
CCDC124	blue	440.745300650736	AdhdM2
CCDC136	blue	470.805237452584	AdhdM2
CCDC157	blue	118.949955866988	AdhdM2
CCDC177	blue	287.816032929368	AdhdM2
CCDC186	blue	51.6785770423659	AdhdM2
CCDC25	blue	546.389608758922	AdhdM2
CCDC3	blue	583.981744488686	AdhdM2
CCDC32	blue	390.151432467258	AdhdM2
CCDC74B	blue	351.881884085815	AdhdM2
CCDC74A	blue	351.881884085815	AdhdM2
CCDC80	blue	435.985294895046	AdhdM2
CCDC87	blue	151.234088682505	AdhdM2
CCER2	blue	11.8617060259689	AdhdM2
CCK	blue	575.690317595431	AdhdM2
CCKBR	blue	662.704667878524	AdhdM2
CCL17	blue	187.6369177448	AdhdM2
CCL27	blue	477.829635430306	AdhdM2
CCN2	blue	254.795906243533	AdhdM2
CCN3	blue	688.468256880324	AdhdM2
CCNE1	blue	380.849926903177	AdhdM2
CCNF	blue	85.033468363742	AdhdM2
CCNG1	blue	508.530757787394	AdhdM2
CCNI	blue	569.674932496077	AdhdM2
CCNY	blue	529.21321647948	AdhdM2
