GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
76	GO:0015347	0.0224768777539829	48.904347826087	0.0227071137129679	1	16	sodium-independent organic anion transmembrane transporter activity	SLC22A6	0.0648371473672583
77	GO:0015378	0.0224768777539829	48.904347826087	0.0227071137129679	1	16	sodium:chloride symporter activity	SLC6A13	0.0648371473672583
78	GO:0016641	0.0224768777539829	48.904347826087	0.0227071137129679	1	16	oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor	VCAM1	0.0648371473672583
79	GO:0046873	0.0234658418410363	5.39023591087811	0.623026432499556	3	439	metal ion transmembrane transporter activity	SLC13A4;SLC6A13;SLC6A20	0.0668330938510529
80	GO:0004030	0.0238654871019496	45.8451086956522	0.0241263083200284	1	17	aldehyde dehydrogenase [NAD(P)+] activity	ALDH1A2	0.0671216824742332
81	GO:0005319	0.0247793641562069	8.88676236044657	0.245520667021465	2	173	lipid transporter activity	SLC22A6;SLC22A8	0.0676398373804352
82	GO:1901981	0.025046003654658	8.8345665961945	0.246939861628526	2	174	phosphatidylinositol phosphate binding	FZD7;MTSS2	0.0676398373804352
83	GO:0005520	0.0252522059553625	43.1457800511509	0.0255455029270889	1	18	insulin-like growth factor binding	IGFBP2	0.0676398373804352
84	GO:0015373	0.0252522059553625	43.1457800511509	0.0255455029270889	1	18	monoatomic anion:sodium symporter activity	SLC6A13	0.0676398373804352
85	GO:0044877	0.0259488830528525	3.39742478106304	1.72999822600674	5	1219	protein-containing complex binding	COL3A1;FN1;NID1;SERPINH1;VCAM1	0.068688219845786
86	GO:0015355	0.0266370367762391	40.7463768115942	0.0269646975341494	1	19	secondary active monocarboxylate transmembrane transporter activity	SLC6A13	0.0688888882144114
87	GO:0016918	0.0266370367762391	40.7463768115942	0.0269646975341494	1	19	retinal binding	ALDH1A2	0.0688888882144114
88	GO:0008289	0.0277444145029649	3.89878640776699	1.17509313464609	4	828	lipid binding	ALDH1A2;FABP7;FZD7;MTSS2	0.070049955058844
89	GO:0016004	0.0280199820235376	38.5995423340961	0.0283838921412099	1	20	phospholipase activator activity	FYN	0.070049955058844
90	GO:0016638	0.0280199820235376	38.5995423340961	0.0283838921412099	1	20	oxidoreductase activity, acting on the CH-NH2 group of donors	VCAM1	0.070049955058844
91	GO:0015377	0.0307802256179505	34.9192546583851	0.0312222813553308	1	22	chloride:monoatomic cation symporter activity	SLC6A13	0.074468287785364
92	GO:0043274	0.0307802256179505	34.9192546583851	0.0312222813553308	1	22	phospholipase binding	FYN	0.074468287785364
93	GO:0050321	0.0307802256179505	34.9192546583851	0.0312222813553308	1	22	tau-protein kinase activity	FYN	0.074468287785364
94	GO:0030234	0.0316263930319178	3.21139047775812	1.82224587546567	5	1284	enzyme regulator activity	FN1;FYN;IGFBP2;MTSS2;SERPINH1	0.075701472682782
95	GO:0060229	0.0335329563491852	31.8790170132325	0.0340606705694518	1	24	lipase activator activity	FYN	0.079420159774386
96	GO:0015296	0.0349065105060883	30.5489130434783	0.0354798651765123	1	25	monoatomic anion:monoatomic cation symporter activity	SLC6A13	0.0809687099368027
97	GO:0016645	0.0349065105060883	30.5489130434783	0.0354798651765123	1	25	oxidoreductase activity, acting on the CH-NH group of donors	SMOX	0.0809687099368027
98	GO:0003785	0.0362781937790868	29.3252173913043	0.0368990597835728	1	26	actin monomer binding	MTSS2	0.0832917714315769
99	GO:0050839	0.0378313435581656	4.44350896252037	0.750753947135001	3	529	cell adhesion molecule binding	COL3A1;FN1;VCAM1	0.0859803262685582
100	GO:0043236	0.039015957420874	27.1497584541063	0.0397374489976938	1	28	laminin binding	NID1	0.0860646119578104
101	GO:0046875	0.039015957420874	27.1497584541063	0.0397374489976938	1	28	ephrin receptor binding	FYN	0.0860646119578104
102	GO:0097718	0.039015957420874	27.1497584541063	0.0397374489976938	1	28	disordered domain specific binding	FYN	0.0860646119578104
103	GO:0061134	0.0398202746315892	6.82432432432432	0.31789959198155	2	224	peptidase regulator activity	FN1;SERPINH1	0.0869860368165783
104	GO:0005164	0.0403820426558386	26.1785714285714	0.0411566436047543	1	29	tumor necrosis factor receptor binding	TRAF3	0.08736499613042
105	GO:0005310	0.0417462667392561	25.2743628185907	0.0425758382118148	1	30	dicarboxylic acid transmembrane transporter activity	SLC22A6	0.0894562858698345
106	GO:0030545	0.0434361419946386	4.19604316546763	0.793329785346816	3	559	signaling receptor regulator activity	FN1;IGFBP2;OGN	0.0921993580074876
107	GO:0022890	0.0449986345231026	4.13449848024316	0.8046833422033	3	567	inorganic cation transmembrane transporter activity	SLC13A4;SLC6A13;SLC6A20	0.0946232968943747
108	GO:0008047	0.0511093990095378	3.91847041847042	0.847259180415114	3	597	enzyme activator activity	FN1;FYN;MTSS2	0.105656280230652
109	GO:0008324	0.0521661095884159	3.88456952062962	0.854355153450417	3	602	monoatomic cation transmembrane transporter activity	SLC13A4;SLC6A13;SLC6A20	0.105656280230652
110	GO:0005109	0.0525933483814801	19.8002350176263	0.0539293950682987	1	38	frizzled binding	FZD7	0.105656280230652
111	GO:0005501	0.0525933483814801	19.8002350176263	0.0539293950682987	1	38	retinoid binding	ALDH1A2	0.105656280230652
112	GO:0019840	0.0525933483814801	19.8002350176263	0.0539293950682987	1	38	isoprenoid binding	ALDH1A2	0.105656280230652
113	GO:0004864	0.055286676363641	18.7826086956522	0.0567677842824197	1	40	protein phosphatase inhibitor activity	IGFBP2	0.107982051869726
